"round","learning_rate","max_depth","mds","sb_sample","spw","auc","Fmeasure","precision","recall","fnm","x","y","n"
2,1,8,0,0.5,70,0.655912486745027,0.0623884402889928,0.033092876465284,0.543703703703704,"dt_x_custInfo_wm_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9508"
3,1,2,0,1,70,0.701879787407856,0.0777525539160045,0.041527735677478,0.608888888888889,"dt_x_custInfo_wm_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9508"
4,1,8,0,1,70,0.529323251544945,0.0592207792207792,0.0456,0.0844444444444444,"dt_x_custInfo_wm_y.train60.test30.roll30-9508_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9508"
1,1,2,0,0.5,55,0.736716901870596,0.103954379732635,0.0563094996961718,0.675577156743621,"dt_x_custInfo_wm_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9538"
2,1,8,0,0.5,55,0.719189425797627,0.0876352395672334,0.0467937608318891,0.688942891859052,"dt_x_custInfo_wm_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9538"
3,1,2,0,1,55,0.719869408256972,0.0968062969329594,0.052297165200391,0.650060753341434,"dt_x_custInfo_wm_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9538"
4,1,8,0,1,55,0.541792278400026,0.0807213396307428,0.0624169986719788,0.114216281895504,"dt_x_custInfo_wm_y.train60.test30.roll30-9538_ret_grid.csv","custInfo","wm","y.train60.test30.roll30-9538"
1,1,2,0,0.5,55,0.736716901870596,0.103954379732635,0.0563094996961718,0.675577156743621,"dt_x_custInfo_wm_y.train90.test30.roll30_ret_grid.csv","custInfo","wm","y.train90.test30.roll30"
2,1,8,0,0.5,55,0.719189425797627,0.0876352395672334,0.0467937608318891,0.688942891859052,"dt_x_custInfo_wm_y.train90.test30.roll30_ret_grid.csv","custInfo","wm","y.train90.test30.roll30"
3,1,2,0,1,55,0.719869408256972,0.0968062969329594,0.052297165200391,0.650060753341434,"dt_x_custInfo_wm_y.train90.test30.roll30_ret_grid.csv","custInfo","wm","y.train90.test30.roll30"
4,1,8,0,1,55,0.541792278400026,0.0807213396307428,0.0624169986719788,0.114216281895504,"dt_x_custInfo_wm_y.train90.test30.roll30_ret_grid.csv","custInfo","wm","y.train90.test30.roll30"
1,1,2,0,0.5,22,0.801618083997339,0.583302548947174,0.545423143350604,0.62683604605002,"dt_9478_x_ben.recent.wayback_cc_y.train30.test30.roll30_ret_grid.csv","ben.recent.wayback","cc","9478"
